Host and Port,Country,City,Note,State,Response(ms),Tested At,Updated At
218.190.235.175:80,HONG KONG,,,Alive,207,2022-10-06 09:12:27.253,2022-10-06 09:12:48.412
47.241.245.186:80,SINGAPORE,,,Alive,277,2022-10-06 09:05:30.967,2022-10-06 09:12:48.409
47.243.244.2:80,HONG KONG,,,Alive,211,2022-10-06 09:12:27.252,2022-10-06 09:12:48.409
103.167.134.31:80,HONG KONG,,,Alive,215,2022-10-06 09:00:44.767,2022-10-06 09:12:48.422
37.236.59.107:8080,IRAQ,,,Alive,1074,2022-10-06 09:02:43.644,2022-10-06 09:12:48.411
172.105.13.173:80,CANADA,,,Alive,879,2022-10-06 09:07:21.466,2022-10-06 09:12:48.417
83.229.72.174:80,ISRAEL,,,Alive,796,2022-10-06 09:03:23.345,2022-10-06 09:12:48.406
147.182.202.202:80,UNITED STATES,,,Alive,871,2022-10-06 09:03:23.345,2022-10-06 09:12:48.418
187.32.147.196:80,BRAZIL,,,Alive,3386,2022-10-06 09:04:49.701,2022-10-06 09:12:48.415
20.110.214.83:80,UNITED STATES,,,Alive,902,2022-10-06 09:00:47.255,2022-10-06 09:12:48.414
194.99.79.242:80,LITHUANIA,,,Alive,203,2022-10-06 09:12:27.252,2022-10-06 09:12:48.414
203.198.207.253:80,HONG KONG,,,Alive,656,2022-10-06 09:04:38.666,2022-10-06 09:12:48.413
118.107.44.181:80,AUSTRALIA,,,Alive,390,2022-10-06 09:02:01.971,2022-10-06 09:12:48.420
219.78.228.211:80,HONG KONG,,,Alive,632,2022-10-06 09:07:19.440,2022-10-06 09:12:48.412
118.140.152.250:80,HONG KONG,,,Testing,238,2022-10-06 09:00:44.767,2022-10-06 09:12:48.420
219.77.188.21:80,HONG KONG,,,Alive,741,2022-10-06 09:03:22.838,2022-10-06 09:12:48.412
198.49.68.80:80,UNITED STATES,,,Alive,863,2022-10-06 09:02:42.145,2022-10-06 09:12:48.414
41.188.149.79:80,UNITED REPUBLIC OF TANZANIA,,,Alive,1328,2022-10-06 09:04:35.660,2022-10-06 09:12:48.411
20.212.168.206:80,UNITED STATES,,,Alive,5922,2022-10-06 09:02:24.098,2022-10-06 09:12:48.413
96.232.166.51:80,UNITED STATES,,,Alive,8999,2022-10-06 09:09:09.449,2022-10-06 09:12:48.405
